S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
1,HARD,"### Palindrome Checker

Determine whether a string is a palindrome (reads the same forward and backward).

---

#### Input Format
- First line contains an integer `t`, the number of test cases.
- For each test case:
  - An integer `n` representing the length of the string.
  - A string `s` of length `n`.

#### Output Format
- For each test case, print `True` if the string is a palindrome, otherwise print `False`.

---

####Constraints
- 1 <= `t` <= 10
- 1 <= `n` <= 1000
- The string `s` will only contain alphanumeric characters and will have at least one character.

---

#### Example 1
###### Input
```
3
n = 5
s = madam
n = 5
s = racer
n = 3
s = ITI
```

###### Output
```
True
False
True
```

###### Explanation
- For the first test case, 'madam' reads the same forward and backward, so the output is `True`.
- For the second test case, 'racer' does not read the same forward and backward, so the output is `False`.
- For the third test case, 'ITI' reads the same forward and backward, so the output is `True`.

---
",Palindrome Checker,DATA_TYPE_LIST,PYTHON,"t = int(input())
for _ in range(t):
    n = int(input().split('=')[1].strip())
    s = input().split('=')[1].strip()
    if s == s[::-1]:
        print('True')
    else:
        print('False')
",PYTHON,"#Write your code here
",,,,,,true
,,,,,,,JAVA,"import java.util.Scanner;
 
class Main {
    public static void main(String[] args) {
        //Write your code below
    }
}","1
5
madam",True,NORMAL_CASE,,,
,,,,,,,CPP,"#include <bits/stdc++.h>

using namespace std;

int main()
{
     //Write your code here
     return 0;
}","1
5
racer",False,NORMAL_CASE,,,
,,,,,,,C,"#include <stdio.h>

int main()
{
     //Write your code here
     return 0;
}","2
3
bob
4
eve","True
True",NORMAL_CASE,,,
,,,,,,,,,"1
6
deified",True,NORMAL_CASE,,,
,,,,,,,,,"1
7
racecar",True,NORMAL_CASE,,,
,,,,,,,,,"1
6
devine",False,NORMAL_CASE,,,
,,,,,,,,,"2
8
abccbaab
5
dadad","False
False",NORMAL_CASE,,,
,,,,,,,,,"1
4
noon",True,NORMAL_CASE,,,
,,,,,,,,,"1
3
wow",True,NORMAL_CASE,,,
,,,,,,,,,"1
3
car",False,NORMAL_CASE,,,
,,,,,,,,,"1
6
abccba",True,NORMAL_CASE,,,
,,,,,,,,,"1
4
abba",True,NORMAL_CASE,,,
,,,,,,,,,"1
7
reviver",True,NORMAL_CASE,,,
,,,,,,,,,"2
6
abcdef
5
xyzzy","False
True",NORMAL_CASE,,,
,,,,,,,,,"1
7
rotator",True,NORMAL_CASE,,,
,,,,,,,,,"1
8
sagas",False,NORMAL_CASE,,,
,,,,,,,,,"1
1
a",True,EDGE_CASE,,,
,,,,,,,,,"1
2
cc",True,NORMAL_CASE,,,
,,,,,,,,,"1
3
aba",True,NORMAL_CASE,,,
,,,,,,,,,"1
4
abcd",False,NORMAL_CASE,,,
,,,,,,,,,"1
5
level",True,NORMAL_CASE,,,
,,,,,,,,,"1
6
dedede",False,NORMAL_CASE,,,
,,,,,,,,,"1
7
rotaror",True,NORMAL_CASE,,,
,,,,,,,,,"2
4
abcd
effe","False
True",NORMAL_CASE,,,
,,,,,,,,,"1
8
1234321",False,NORMAL_CASE,,,
,,,,,,,,,"1
6
kayyak",True,NORMAL_CASE,,,
,,,,,,,,,"2
5
madam
4
abcd","True
False",NORMAL_CASE,,,
,,,,,,,,,"1
4
xyzy",False,NORMAL_CASE,,,
,,,,,,,,,"1
9
12321abcd",False,NORMAL_CASE,,,
,,,,,,,,,"1
4
noon",True,NORMAL_CASE,,,
,,,,,,,,,,,,,,
